8083/3-C31.3,80833,C313
8720/2-C44.6,87202,C446
8804/3-C49.1,88043,C491
9724/3-C42.2,97243,C422
9260/3-C41.4,92603,C414
8263/2-C17.0,82632,C170
9441/3-C71.0,94413,C710
9806/3-C42.1,98063,C421
8240/3-C26.0,82403,C260
8801/3-C61.9,88013,C619
9220/3-C40.0,92203,C400
8815/3-C49.0,88153,C490
9680/3-C71.8,96803,C718
9540/0-C70.1,95400,C701
8072/3-C10.9,80723,C109
9382/3-C72.0,93823,C720
9716/3-C44.9,97163,C449
9930/3-C49.3,99303,C493
8481/3-C67.9,84813,C679
8803/3-C30.0,88033,C300
8900/3-C38.0,89003,C380
9699/3-C71.4,96993,C714
8851/3-C49.5,88513,C495
8851/3-C38.2,88513,C382
9133/3-C49.1,91333,C491
9364/3-C49.4,93643,C494
8805/3-C47.1,88053,C471
8000/3-C80.9,80003,C809
9120/3-C49.2,91203,C492
9540/3-C49.3,95403,C493
8910/3-C49.2,89103,C492
9670/3-C77.0,96703,C770
8246/3-C52.9,82463,C529
9590/3-C77.0,95903,C770
9500/3-C71.3,95003,C713
8858/3-C49.4,88583,C494
9044/3-C49.2,90443,C492
9394/3-C72.1,93943,C721
9381/3-C71.0,93813,C710
8230/2-C50.8,82302,C508
8230/3-C34.2,82303,C342
8890/3-C54.8,88903,C548
8052/3-C67.8,80523,C678
9570/0-C72.4,95700,C724
9500/3-C49.0,95003,C490
9680/3-C75.1,96803,C751
8140/2-C24.0,81402,C240
8720/3-C44.6,87203,C446
8803/3-C49.4,88033,C494
8523/3-C50.8,85233,C508
8074/3-C01.9,80743,C019
8033/3-C76.0,80333,C760
8071/3-C13.0,80713,C130
8072/3-C67.4,80723,C674
8246/3-C32.3,82463,C323
8811/3-C80.9,88113,C809
8120/2-C68.9,81202,C689
8723/2-C44.5,87232,C445
9708/3-C49.9,97083,C499
8244/3-C24.1,82443,C241
8480/3-C57.9,84803,C579
9687/3-C41.2,96873,C412
9702/3-C17.0,97023,C170
9260/3-C49.0,92603,C490
9690/3-C44.0,96903,C440
8020/3-C22.1,80203,C221
8000/3-C25.8,80003,C258
8550/3-C25.8,85503,C258
9680/3-C77.4,96803,C774
8963/3-C80.9,89633,C809
9371/3-C41.0,93713,C410
8490/3-C16.8,84903,C168
9180/3-C41.9,91803,C419
8851/3-C49.6,88513,C496
8771/3-C44.7,87713,C447
8430/3-C02.1,84303,C021
9120/3-C41.4,91203,C414
8010/3-C11.8,80103,C118
9581/3-C49.5,95813,C495
8031/3-C25.0,80313,C250
8070/2-C15.1,80702,C151
9240/3-C49.0,92403,C490
8131/3-C67.8,81313,C678
9591/3-C38.4,95913,C384
9691/3-C71.1,96913,C711
9381/3-C71.1,93813,C711
8033/3-C24.1,80333,C241
8806/3-C71.1,88063,C711
8950/3-C57.9,89503,C579
9421/3-C71.7,94213,C717
8140/2-C15.9,81402,C159
8140/2-C15.1,81402,C151
9751/3-C41.0,97513,C410
9680/3-C25.1,96803,C251
8140/3-C50.8,81403,C508
9930/3-C49.0,99303,C490
9680/3-C15.5,96803,C155
8072/3-C32.8,80723,C328
8430/3-C05.2,84303,C052
9690/3-C77.4,96903,C774
8246/3-C67.0,82463,C670
8521/3-C50.3,85213,C503
9971/3-C44.1,99713,C441
8144/3-C24.9,81443,C249
9043/3-C49.1,90433,C491
8490/3-C25.8,84903,C258
9727/3-C44.7,97273,C447
8144/3-C15.9,81443,C159
8490/3-C67.8,84903,C678
9492/0-C71.2,94920,C712
8070/2-C00.6,80702,C006
8743/3-C44.7,87433,C447
8005/3-C55.9,80053,C559
